Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2015-10-12,Apple Health,7482.0,0.0,5636.0,0.0
2015-10-13,Apple Health,6953.0,0.0,5293.0,0.0
2015-10-14,Apple Health,8134.0,0.0,5915.0,0.0
2015-10-15,Apple Health,3587.0,0.0,2776.0,0.0
2015-10-16,Apple Health,5011.0,0.0,3772.0,0.0
2015-10-17,Apple Health,3940.0,0.0,2919.0,0.0
2015-10-18,Apple Health,2852.0,0.0,2118.0,0.0
2015-10-19,Apple Health,6850.0,283.7,5246.0,0.0
2015-10-20,Apple Health,4105.0,254.7,3237.0,0.0
2015-10-21,Apple Health,12503.0,663.4,10053.0,0.0
2015-10-22,Apple Health,3440.0,186.0,2674.0,0.0
2015-10-23,Apple Health,7687.0,418.5,6246.0,0.0
2015-10-24,Apple Health,937.0,0.0,777.0,0.0
2015-10-25,Apple Health,532.0,0.0,434.0,0.0
2015-10-26,Apple Health,3630.0,234.3,2713.0,0.0
2015-10-27,Apple Health,7753.0,298.5,5626.0,0.0
2015-10-28,Apple Health,10142.0,420.1,7695.0,0.0
2015-10-29,Apple Health,5070.0,186.7,3724.0,0.0
2015-10-30,Apple Health,11377.0,569.6,9012.0,0.0
2015-10-31,Apple Health,13328.0,0.0,10337.0,0.0
2015-11-01,Apple Health,649.0,2.5,502.0,0.0
2015-11-02,Apple Health,3711.0,0.0,2467.0,0.0
2015-11-03,Apple Health,6528.0,2.5,4783.0,0.0
2015-11-04,Apple Health,7443.0,419.1,5690.0,0.0
2015-11-05,Apple Health,5321.0,0.0,4137.0,0.0
2015-11-06,Apple Health,7246.0,0.0,5555.0,0.0
2015-11-07,Apple Health,2266.0,0.0,1705.0,0.0
2015-11-08,Apple Health,203.0,0.0,158.0,0.0
2015-11-09,Apple Health,4380.0,0.0,3121.0,0.0
2015-11-10,Apple Health,4755.0,0.0,3402.0,0.0
2015-11-11,Apple Health,17446.0,0.0,12791.0,0.0
2015-11-12,Apple Health,6663.0,0.0,4982.0,0.0
2015-11-13,Apple Health,13309.0,0.0,10155.0,0.0
2015-11-14,Apple Health,16339.0,0.0,12051.0,0.0
2015-11-15,Apple Health,8657.0,0.0,6893.0,0.0
2015-11-16,Apple Health,4029.0,0.0,3068.0,0.0
2015-11-17,Apple Health,4403.0,0.0,3056.0,0.0
2015-11-18,Apple Health,6332.0,0.0,4636.0,0.0
2015-11-19,Apple Health,7645.0,0.0,5502.0,0.0
2015-11-20,Apple Health,2691.0,0.0,2082.0,0.0
2015-11-21,Apple Health,56.0,0.0,58.0,0.0
2015-11-22,Apple Health,247.0,0.0,212.0,0.0
2015-11-23,Apple Health,1322.0,0.0,1074.0,0.0
2015-11-24,Apple Health,5227.0,0.0,3648.0,0.0
2015-11-25,Apple Health,6431.0,0.0,4727.0,0.0
